inm series,abbreviation,lum file SMILES,inm corrected SMILES,lum file,population,,
121,Ot-Bu,*OC(C)(C)C,*OC(C)(C)C,164,6,,
122,,,,,,,
123,MeO,*OC,*OC,32,49,,
124,EtO,*OCC,*OCC,140,8,,
125,PrO,,*OCCC,,,,
126,nPrO,,*OCCC,,,,
127,n-PrO,,*OCCC,,,,
128,iPrO,,*OC(C)C,,,,
129,i-PrO,,*OC(C)C,,,,
130,BuO,*OCCCC,*OCCCC,479,1,,
131,nBuO,,*OCCCC,,,,
132,n-BuO,,*OCCCC,,,,
133,iBuO,,*OCC(C)C,,,,
134,i-BuO,,*OCC(C)C,,,,
135,tBuO,,*OC(C)(C)C,,,,
136,t-BuO,*OC(C)(C)C,*OC(C)(C)C,623,1,,
137,,,,,,,
138,OCH3,*OC,*OC,7,442,,
139,OC2H5,*OCC,*OCC,90,17,,
140,OC3H7,*OCCC,*OCCC,296,2,,
141,OC4H9,,*OCCCC,,,,
142,,,,,,,
143,CH3O,*CO,*OC,62,27,,
144,C2H5O,*OCC,*OCC,249,3,,
145,C3H7O,,*OCCC,,,,
146,C4H9O,,*OCCCC,,,,
147,,,,,,,
148,H3CO,*CO,*OC,14,173,,
149,H5C2O,*OCC,*OCC,559,1,,
150,H7C3O,,*OCCC,,,,
151,H9C4O,,*OCCCC,,,,
152,,,,,,,
153,OCH2CH3,*OCC,*OCC,81,20,,
154,,,,,,,
155,CH3CH2O,,*OCC,,,,
156,H3CH2CO,,*OCC,,,,
157,,,,,,,
158,OCD3,*OC([2H])([2H])[2H],*OC([2H])([2H])[2H],193,5,,
159,,,,,,,
160,CD3O,,*OC([2H])([2H])[2H],,,,
161,D3CO,,*OC([2H])([2H])[2H],,,,
162,,,,,,,
163,OCH2F,*OCF,*OCF,338,2,,
164,OCFH2,,*OCF,,,,
165,OCHF2,*OC(F)F,*OC(F)F,84,19,,
166,OCF2H,*OC(F)F,*OC(F)F,187,5,,
167,OCF3,*OC(F)(F)F,*OC(F)(F)F,16,148,,
168,,,,,,,
169,FH2CO,*FC=O,*OCF,668,1,,
170,H2FCO,,*OCF,,,,
171,F2HCO,,*OC(F)F,,,,
172,HF2CO,*OC(F)F,*OC(F)F,718,1,,
173,F3CO,*OC(F)(F)F,*OC(F)(F)F,141,8,,
174,CF3O,*C#FO(F)F,*OC(F)(F)F,574,1,,
175,,,,,,,
176,OC2F5,,*OC(F)(F)C(F)(F)F,,,,
177,,,,,,,
178,C2F5O,,*OC(F)(F)C(F)(F)F,,,,
179,F5C2O,,*OC(F)(F)C(F)(F)F,,,,
180,,,,,,,
181,OPh,*OC1=CC=CC=C1,*OC1=CC=CC=C1,92,17,,
182,PhO,,*OC1=CC=CC=C1,,,,
183,,,,,,,
184,OBn,*OCC1=CC=CC=C1,*OCC1=CC=CC=C1,22,84,,
185,BnO,*OCCCC,*OCC1=CC=CC=C1,275,3,,
186,,,,,,,
187,SPh,*SC1=CC=CC=C1,*SC1=CC=CC=C1,214,4,,
188,PhS,*SC1=CC=CC=C1,*SC1=CC=CC=C1,320,2,,
189,,,,,,,
190,SBn,,*SCC1=CC=CC=C1,,,,
191,BnS,,*SCC1=CC=CC=C1,,,,
192,,,,,,,
193,SMe,*SC,*SC,201,5,,
194,SEt,*SCC,*SCC,293,3,,
195,SPr,,*SCCC,,,,
196,SBu,,*SCCCC,,,,
197,,,,,,,
198,MeS,*SC,*SC,226,4,,
199,EtS,,*SCC,,,,
200,PrS,,*SCCC,,,,
201,BuS,*SCCCC,*SCCCC,477,1,,
202,,,,,,,
203,SCH3,*SC,*SC,194,5,,
204,SC2H5,,*SCC,,,,
205,SC3H7,,*SCCC,,,,
206,SC4H9,,*SCCCC,,,,
207,,,,,,,
208,CH3S,*CS,*SC,278,3,,
209,C2H5S,,*SCC,,,,
210,C3H7S,,*SCCC,,,,
211,C4H9S,,*SCCCC,,,,
212,,,,,,,
213,H3CS,*SC,*SC,223,4,,
214,H5C2S,,*SCC,,,,
215,H7C3S,,*SCCC,,,,
216,H9C4S,,*SCCCC,,,,
217,,,,,,,
218,CHO,*C=O,*C=O,39,43,,
219,OHC,*OC,*C=O,69,24,,
220,,,,,,,
221,Ac,*C(C)=O,*C(=O)C,67,24,,
222,,,,,,,
223,COOH,*C(=O)O,*C(=O)O,9,407,,
224,CO2H,*C(=O)O,*C(=O)O,11,351,,
225,HOOC,*OC=O,*C(=O)O,21,98,,
226,HO2C,*C(=O)O,*C(=O)O,190,5,,
227,,,,,,,
228,COO-,*C(=O)[O-],*C(=O)[O-],152,7,,
229,CO2-,*C(=O)[O-],*C(=O)[O-],124,10,,
230,-OOC,,*C(=O)[O-],,,,
231,-O2C,,*C(=O)[O-],,,,
232,,,,,,,
233,COOMe,*C(=O)OC,*C(=O)OC,80,20,,
234,CO2Me,*C(=O)OC,*C(=O)OC,25,59,,
235,MeOOC,*C(=O)OC,*C(=O)OC,566,1,,
236,MeO2C,*C(=O)OC,*C(=O)OC,326,2,,
237,,,,,,,
238,COOEt,*C(=O)OCC,*C(=O)OCC,79,20,,
239,CO2Et,*C(=O)OCC,*C(=O)OCC,35,46,,
240,EtOOC,*C(=O)OCC,*C(=O)OCC,430,1,,
241,EtO2C,*C(=O)OCC,*C(=O)OCC,463,1,,
242,,,,,,,
243,COOCH3,*C(=O)OC,*C(=O)OC,96,15,,
244,CO2CH3,*C(=O)OC,*C(=O)OC,109,12,,
245,COOC2H5,*C(=O)OCC,*C(=O)OCC,763,1,,
246,CO2C2H5,,*C(=O)OCC,,,,
247,,,,,,,
248,H3COOC,*COC=O,*C(=O)OC,126,10,,
249,H3CO2C,*COC=O,*C(=O)OC,158,6,,
250,H5C2OOC,,*C(=O)OCC,,,,
251,H5C2O2C,,*C(=O)OCC,,,,
252,,,,,,,
253,OAc,*OC(C)=O,*OC(C)=O,27,55,,
254,AcO,*OC(C)=O,*OC(C)=O,119,11,,
255,,,,,,,
256,SAc,*SC(C)=O,*SC(=O)C,279,3,,
257,AcS,,*SC(C)=O,,,,
258,,,,,,,
259,NHMe,*NC,*NC,198,5,,
260,MeNH,*NC,*NC,562,1,,
261,,,,,,,
262,NHCH3,*NC,*NC,351,2,,
263,H3CHN,*CN,*NC,434,1,,
264,,,,,,,
265,N(Me)2,*N(C)C,*N(C)C,113,12,,
266,NMe2,*N(C)C,*N(C)C,83,19,,
267,(Me)2N,,*N(C)C,,,,
268,Me2N,*N(C)C,*N(C)C,180,5,,
269,,,,,,,
270,N(CH3)2,*N(C)C,*N(C)C,104,14,,
271,(CH3)2N,,*N(C)C,,,,
272,,,,,,,
273,NHEt,*NCC,*NCC,264,3,,
274,EtHN,*NCC,*NCC,556,1,,
275,,,,,,,
276,N(Et)2,,*N(CC)CC,,,,
277,NEt2,*N(CC)CC,*N(CC)CC,265,3,,
278,(Et)2N,,*N(CC)CC,,2,,
279,Et2N,*N(CC)CC,*N(CC)CC,325,2,,
280,,,,,,,
281,N(C2H5)2,*N(CC)CC,*N(CC)CC,136,8,,
282,N(CH2CH3)2,*N(CC)CC,*N(CC)CC,55,34,,
283,,,,,,,
284,(C2H5)2N,*N(CC)CC,*N(CC)CC,146,7,,
285,(H5C2)2N,*N(CC)CC,*N(CC)CC,224,4,,
286,(CH3CH2)2N,*N(CC)CC,*N(CC)CC,59,31,,
287,,,,,,,
288,NHAc,*NC(C)=O,*NC(C)=O,87,19,,
289,AcHN,*NC(C)=O,*NC(C)=O,138,8,,
290,,,,,,,
291,N3,*N=[N+]=[N-],*N=[N+]=[N-],19,120,,
292,,,,,,,
293,CN,*C#N,*C#N,3,1493,,
294,NC,*[N+]#[C-],*C#N,4,909,cyano more abundant than isocyano,
295,,,,,,,
296,OCN,*OC#N,*OC#N,53,35,,
297,NCO,*N=C=O,*N=C=O,40,43,Isocyanate ester more abundant than cyanate ester,
298,,,,,,,
299,NCS,*N=C=S,*N=C=S,168,6,Isothiocyanate ester as abundant as thiocyanate ester … 50% chance that abbreviation is correct,
300,SCN,,*N=C=S,,,,
301,,,,,,,
302,NO2,*[N+](=O)[O-],*[N+](=O)[O-],8,416,,
303,O2N,*[N+](=O)[O-],*[N+](=O)[O-],12,229,,
304,,,,,,,
305,SO2,*S(*)(=O)=O,*S(*)(=O)=O,43,43,,
306,O2S,*S(*)(=O)=O,*S(*)(=O)=O,252,3,,
307,,,,,,,
308,SO2Cl,*S(=O)(=O)Cl,*S(=O)(=O)[Cl],292,3,,
309,ClO2S,*Cl[SH](=O)=O,*S(=O)(=O)[Cl],64,27,,
310,,,,,,,
311,SO2Me,*S(C)(=O)=O,*S(=O)(=O)C,48,39,,
312,SO2Et,*S(=O)(=O)CC,*S(=O)(=O)CC,290,3,,
313,,,,,,,
314,MeO2S,*S(C)(=O)=O,*S(=O)(=O)C,752,1,,
315,EtO2S,,*S(=O)(=O)CC,,,,
316,,,,,,,
317,SO2CH3,*S(C)(=O)=O,*S(=O)(=O)C,73,22,,
318,H3CO2S,*C[SH](=O)=O,*S(=O)(=O)C,635,1,,
319,,,,,,,
320,SO2CF3,*S(=O)(=O)C(F)(F)F,*S(=O)(=O)C(F)(F)F,61,28,,
321,F3CO2S,,*S(=O)(=O)C(F)(F)F,,,,
322,,,,,,,
323,SO2Ph,*S(=O)(=O)C1=CC=CC=C1,*S(=O)(=O)C1=CC=CC=C1,128,10,,
324,PhO2S,,*S(=O)(=O)C1=CC=CC=C1,,,,
325,,,,,,,
326,SO3H,*S(=O)(=O)O,*S(=O)(=O)O,38,44,,
327,HO3S,*[SH](=O)([O-])[O-],*S(=O)(=O)O,258,3,,
328,,,,,,,
329,SO3-,*S(=O)(=O)[O-],*S(=O)(=O)[O-],97,15,,
330,-O3S,,*S(=O)(=O)[O-],,,,
331,,,,,,,
332,OSO3H,*OS(=O)(=O)O,*OS(=O)(=O)O,112,12,,
333,HO3SO,*[H]OS(=O)(=O)O,*OS(=O)(=O)O,377,2,,
334,,,,,,,
335,OSO3-,,*OS(=O)(=O)[O-],,,,
336,-O3SO,,*OS(=O)(=O)[O-],,,,
337,,,,,,,
338,COOtBu,,*C(=O)OC(C)(C)C,,,,
339,COOt-Bu,,*C(=O)OC(C)(C)C,,,,
340,CO2tBu,*C(=O)OC(C)(C)C,*C(=O)OC(C)(C)C,111,12,,
341,CO2t-Bu,*C(=O)OC(C)(C)C,*C(=O)OC(C)(C)C,747,1,,
342,tBuOOC,,*C(=O)OC(C)(C)C,,,,
343,t-BuOOC,,*C(=O)OC(C)(C)C,,,,
344,tBuO2C,,*C(=O)OC(C)(C)C,,,,
345,t-BuO2C,,*C(=O)OC(C)(C)C,,,,
346,,,,,,,
347,Boc,*C(=O)OC(C)(C)C,*C(=O)OC(C)(C)C,6,443,,
348,,,,,,,
349,CO2C(CH3)3,*C(=O)OC(C)(C)C,*C(=O)OC(C)(C)C,225,4,,
350,,,,,,,
351,OBoc,*OC(=O)OC(C)(C)C,*OC(=O)OC(C)(C)C,303,2,,
352,BocO,,*OC(=O)OC(C)(C)C,,,,
353,,,,,,,
354,NHBoc,*NC(=O)OC(C)(C)C,*NC(=O)OC(C)(C)C,18,122,,
355,BocHN,*NC(=O)OC(C)(C)C,*NC(=O)OC(C)(C)C,148,7,,
356,,,,,,,
357,NBoc,*N(*)C(=O)OC(C)(C)C,*N(*)C(=O)OC(C)(C)C,29,54,,
358,BocN,*N(*)C(=O)OC(C)(C)C,*N(*)C(=O)OC(C)(C)C,163,6,,
359,,,,,,,
360,NBoc2,,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,,,,
361,N(Boc)2,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,191,5,,
362,,,,,,,
363,Boc2N,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,182,5,,
364,(Boc)2N,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,462,1,,
365,,,,,,,
366,BOC,*BC=O,*C(=O)OC(C)(C)C,75,21,Boc,
367,,,,,,,
368,OBOC,*OC(=O)OC(C)(C)C,*OC(=O)OC(C)(C)C,498,1,,
369,BOCO,,*OC(=O)OC(C)(C)C,,,,
370,,,,,,,
371,NHBOC,*NB(C)O,*NC(=O)OC(C)(C)C,762,1,Boc,
372,BOCHN,*NC(=O)OC(C)(C)C,*NC(=O)OC(C)(C)C,492,1,,
373,,,,,,,
374,NBOC,,*N(*)C(=O)OC(C)(C)C,,,,
375,BOCN,*B(*)OC#N,*N(*)C(=O)OC(C)(C)C,785,1,Boc,
376,,,,,,,
